TI1;TI2;TI3;TI4;TI5;TC1;TC2;TI6;LC1;TI7
1,0282;1,0956;0,59087;0,17224;0,49098;0,4644;-0,48567;-0,34714;-0,29051;-0,26994
0,74313;0,8207;0,65524;0,17224;0,53922;0,47532;-0,43383;-0,16793;-0,20777;-0,26994
0,76213;0,8207;0,71962;0,17224;0,59482;0,47532;-1,1427;-1,5216;0,0038641;-0,26994
1,0472;0,8207;0,51883;0,17224;0,65043;0,47532;-1,3083;-0,58603;0,24432;-0,18774
0,93079;0,8207;0,30794;0,17609;0,70604;0,47532;-1,1013;-0,74526;0,41167;-0,033651
0,75263;0,8207;0,54798;0,29272;0,75788;0,47532;-0,89438;-0,83284;0,4471;0,13686
0,61012;0,8207;0,64398;0,40927;0,70026;0,44973;-0,68741;-0,5661;0,29561;0,30765
0,61012;0,8207;0,27147;0,42485;0,64264;0,41322;-0,48045;-0,10737;0,15347;0,46618
0,61012;0,79514;0,32907;0,42485;0,58511;0,37671;-0,47638;0,56865;0,052111;0,54861
0,61012;0,75686;0,38667;0,42485;0,52749;0,34019;-0,55917;-0,86471;-0,017385;0,32672
0,61012;0,71854;0,44427;0,20592;0,49098;0,30368;-0,64196;-0,79784;-0,11422;0,22315
0,61012;0,68022;0,50191;0,024054;0,49098;0,31836;-0,72475;-1,5216;-0,17155;0,17943
0,61012;0,64191;0,53565;0,1251;0,49098;0,35487;-0,80753;-1,223;-0,30559;0,12902
0,61012;0,65886;0,47392;0,67746;0,49098;0,39138;-0,80328;-0,86471;-0,29647;0,078562
0,61012;0,70146;0,41219;0,67746;0,49098;0,42789;-0,76188;-0,86471;-0,32671;0,017675
0,61012;0,74406;0,35047;0,67746;0,49098;0,4644;-0,72049;0,52087;-0,18228;-0,085034
0,61012;0,78661;0,28874;0,67746;0,49098;0,47532;-0,6791;-0,74526;-0,27012;-0,18774
1,3786;1,1533;0,25994;0,67746;0,49098;0,47532;-0,6377;-0,74526;-0,29546;-0,2435
1,9402;1,7933;0,38402;0,67746;0,49098;0,47532;-0,68335;-0,81693;-0,32705;-0,11147
1,3564;1,8708;1,0043;0,67746;0,49098;0,47532;-0,76614;0,38949;-0,24908;0,020612
0,9418;1,3193;1,5938;0,67746;0,49098;0,47532;-0,84893;-2,1786;-0,47139;-0,26994
0,61012;1,1172;1,2889;0,84044;0,49098;0,44973;-0,93171;-0,41619;-0,44736;-0,26994
0,61012;0,91504;0,98393;1,0985;0,49098;0,41322;-1,0145;0,73587;-0,40764;-0,26994
0,13509;0,34334;0,73998;1,0985;0,49098;0,37671;-1,0102;-0,55416;-0,42696;-0,26994
0,13509;0,34334;0,25994;0,95415;0,64599;0,34019;-0,96885;-0,74526;-0,2699;-0,26994
1,1341;0,59538;0,25994;0,23236;0,93659;0,30368;-0,92746;-0,2675;0,16988;-0,26994
1,5249;1,3701;0,25994;0,0038296;1,0286;0,29276;-0,88606;-0,74526;0,23771;-0,26994
0,89665;1,3065;0,37514;0,0038296;1,0286;0,29276;-0,84467;-0,74526;0,21517;-0,16977
0,94033;1,2429;0,95118;0,0038296;1,0286;0,29276;-0,83229;-0,64491;0,18078;-0,054215
0,98402;1,1792;0,92893;0,096768;0,9211;0,29276;-0,83229;0,90308;0,39492;0,070786
1,0277;1,1156;0,81463;0,27092;0,71944;0,29276;-0,83229;-0,43075;0,5132;0,23352
1,0713;1,1071;0,70037;0,44515;0,51786;0,26717;-0,83229;-0,5502;0,53148;0,39625
1,0852;1,1071;0,58607;0,61938;0,53754;0,23066;-0,83229;0,27803;0,30683;0,55892
1,0852;1,2932;0,54798;0,6411;0,59131;0,19415;-0,86131;-0,99609;0,3241;0,71261
1,0852;1,3935;0,54798;0,58657;0,64507;0,15763;-0,9027;0,74781;0,19285;0,60385
1,0852;1,3935;0,54798;0,53211;0,69884;0,12112;-0,94409;0,090882;0,036543;0,4951
1,0852;1,3935;0,54798;0,47757;0,7526;0,1102;-0,98549;-1,0319;-0,35147;0,35258
1,0852;1,3935;0,54798;0,42485;0,75981;0,1102;-1,0269;-1,9994;-0,59625;0,075221
1,0852;1,3935;0,54798;0,42485;0,75981;0,1102;-1,0102;-0,31728;-0,6731;-0,081059
1,0852;1,3935;0,54798;0,42485;0,75981;0,1102;-0,96885;-0,53027;-0,50971;-0,23365
1,0852;1,3935;0,54798;0,42485;0,77053;0,1102;-0,92746;-0,41083;0,17361;-0,1806
1,0852;1,3935;0,54798;0,42485;0,82429;0,1102;-0,88606;-0,74526;0,39989;-0,12749
1,0852;1,3935;0,54798;0,42485;0,87806;0,1102;-0,84467;-0,78283;0,54398;-0,01107
1,0852;1,3935;0,54798;0,42485;0,93182;0,1102;-0,83229;-0,38694;0,55669;0,35875
1,0852;1,3935;0,54798;0,42485;0,98559;0,1102;-0,83229;-0,64491;0,35351;0,72857
1,0852;1,3935;0,54798;0,42485;0,98257;0,1102;-0,83229;-0,5661;0,15846;0,80253
1,0852;1,3935;0,54579;0,42485;0,7521;0,08461;-0,83229;-0,74526;-0,038312;0,42211
1,0418;1,3648;0,47957;0,074498;0,52171;0,048097;-0,83229;0,56865;-0,027955;0,46036
0,96031;1,2216;0,41336;-0,1911;0,49098;0,011585;-0,86131;-0,60701;0,18684;0,49861
0,89518;1,0355;0,34715;0,097634;0,49098;-0,024927;-0,9027;0,38949;0,19285;0,53686
0,89518;0,6775;0,28089;0,38637;0,49098;-0,061439;-0,94409;-1,0916;0,13635;0,57511
1,0218;1,0928;0,30552;0,42485;0,49098;-0,072359;-0,98549;0,38949;0,24989;0,59297
1,2594;1,0212;0,37227;0,42485;0,49098;-0,072359;-1,0269;-0,58519;0,27763;0,59297
0,89518;0,94957;0,43898;0,42485;0,49098;-0,072359;-1,0102;-0,93637;0,1591;0,44504
0,89518;0,87797;0,50573;0,42485;0,49098;-0,072359;-0,96885;-1,1753;0,10276;0,25005
0,89518;0,8207;0,56422;0,42485;0,49098;-0,072359;-0,92746;-0,5661;0,21517;0,3845
0,89518;0,8207;0,60855;0,42485;0,49098;-0,046766;-0,88606;0,56865;0,21615;0,519
0,89518;0,8207;0,65287;0,42485;0,49098;-0,010254;-0,84467;-2,3578;0,12546;0,65351
0,89518;0,8207;0,69714;0,42485;0,49098;0,026258;-0,80328;0,41873;0,04651;0,69654
0,89518;0,8207;0,7385;0,42485;0,49098;0,062771;-0,76188;-0,57805;-0,0061698;0,65956
0,89518;0,8207;0,69454;0,42485;0,49098;0,099283;-0,72049;-0,38694;0,16473;0,62258
0,89518;0,8207;0,65058;0,42485;0,49098;0,1102;-0,6791;-0,79371;0,19285;0,58502
0,92683;0,8422;0,60662;0,42485;0,55178;0,1102;-0,6377;-0,74526;0,26663;0,54544
1,0852;0,94957;0,56265;0,42485;0,62187;0,1102;-0,68335;-0,83284;0,21517;0,50581
1,2435;1,0569;0,54798;0,42485;0,69205;0,1102;-0,76614;-1,223;0,1591;0,46618
1,3386;1,1071;0,54798;0,33104;0,75788;0,1102;-0,84893;-0,74526;-0,17176;0,42655
1,1802;1,1071;0,54798;0,22276;0,70026;0,18681;-0,93171;-0,86471;-0,40244;0,30944
1,0218;1,1071;0,54798;0,72798;0,64264;0,29635;-1,0145;-1,4022;-0,31649;0,12453
0,89518;1,1071;0,54798;0,86577;0,58511;0,40588;-1,0393;-0,86471;-0,4304;-0,060379
0,89518;1,0662;0,54798;0,93007;0,52749;0,51542;-1,0393;-1,9994;-0,58746;-0,085034
0,85243;0,8616;0,54798;0,93007;0,56987;0,62496;-1,0393;-0,57325;-0,63119;-0,22242
0,63862;0,65703;0,54798;0,93007;0,78493;0,63229;-1,0393;-0,92443;-0,37664;-0,38089
1,0852;1,1758;0,54798;0,93007;0,99999;0,59578;-1,0393;-0,2675;-0,31678;-0,45485
1,0852;1,6226;0,54798;0,93007;0,97034;0,55927;-1,0393;-0,36701;-0,40325;-0,45485
1,0618;1,3505;0,54798;0,4265;0,90318;0,52276;-1,0393;-0,74526;-0,39445;-0,45485
1,018;1,1357;0,54798;0,47702;0,83602;0,48624;-1,0393;-0,75721;-0,23948;-0,45485
0,97412;0,92093;0,54798;0,52754;0,76877;0,42414;-1,0393;-0,86471;-0,13267;-0,45485
0,93025;0,85594;0,54798;0,57807;0,71324;0,35111;-1,0393;-0,74526;-0,15786;-0,41931
0,89518;0,92205;0,54798;0,62859;0,65948;0,27809;-1,0393;-1,7008;-0,14158;-0,36597
0,89518;0,98811;0,54798;0,67746;0,60571;0,20507;-1,0393;-0,92443;-0,007243;-0,31263
0,89518;1,0542;0,54798;0,67746;0,55195;0,13204;-1,0393;-0,74353;0,080347;-0,25762
0,89518;1,1071;0,54798;0,67746;0,49818;0,059017;-1,0393;-0,62582;0,30157;-0,19598
0,82677;1,1071;0,54798;0,67746;0,49098;-0,014007;-1,0393;-0,82379;0,1591;-0,13434
0,4847;1,1071;0,54798;0,62882;0,49098;-0,087032;-1,0393;-0,74526;0,10909;-0,054215
0,99019;1,1071;0,54798;0,57264;0,49098;-0,16006;-1,0393;-0,93849;0,080865;0,099876
1,2493;1,1071;0,54798;0,51653;0,49098;-0,23308;-1,0393;-0,74526;0,42348;0,22315
1,1675;1,1071;0,54798;0,46042;0,49098;-0,20373;-1,0393;-1,88;0,45321;0,22315
0,78748;1,0713;0,59598;0,44704;0,56861;-0,13071;-1,0393;-1,9994;0,59841;0,22315
0,64271;0,89229;0,83598;0,50771;0,65822;-0,057685;-0,67716;-1,5216;0,65514;0,39798
0,70379;0,71328;0,84218;0,56831;0,74783;0,015339;-0,15955;-0,57805;0,56256;0,59297
0,76488;0,62977;0,54798;0,62898;0,81156;0,088363;-1,0186;-0,5661;0,38849;0,59297
0,82597;0,62977;0,54798;0,67746;0,87136;0,13579;-1,3952;-1,0439;0,35893;0,59297
0,88706;0,87797;0,54798;0,67746;0,93107;0,17231;-1,3124;-1,0439;0,25654;0,59297
1,1422;1,1644;0,54798;0,67746;0,99078;0,20882;-1,2296;-0,73812;-0,05999;0,59297
1,3346;1,3444;0,54798;0,67746;1,0076;0,24533;-1,1468;-0,74526;0,04207;0,22067
1,1564;1,0989;0,54798;0,64968;0,95016;0,28184;-1,064;-0,86471;-0,19789;0,14671
0,97833;0,85344;0,54798;0,59758;0,8928;0,31836;-1,0393;-1,88;-0,53391;0,072744
0,9386;0,88511;0,54798;0,54549;0,83535;0,35487;-1,0393;0,73587;-0,87899;-0,15721
1,0201;1,2073;0,54798;0,49339;0,77798;0,39138;-1,0393;-0,5661;-0,91516;-0,52375
1,1007;1,5295;0,54798;0,44137;0,75981;0,42789;-1,0393;0,090882;-0,82555;-0,63982
1,1785;1,5882;0,54798;0,42485;0,75981;0,4644;-1,0393;0,34969;-0,65915;-0,63982
1,2562;1,4164;0,54798;0,42485;0,75981;0,44973;-1,0393;-0,6779;-0,37186;-0,63982
1,3339;1,2446;0,97038;0,42485;0,75981;0,41322;-1,0393;-0,57927;-0,51523;-0,63982
1,3702;1,5653;0,81329;0,49843;0,72798;0,37671;-1,0393;-1,0319;-0,4213;-0,63982
1,3702;1,6226;0,71724;0,86648;0,66819;0,34019;-1,0393;-0,54618;-0,43708;-0,60549
1,2333;1,3362;0,67458;1,2345;0,60848;0,30368;-1,0393;-1,0439;-0,34637;-0,56586
0,97651;1,0498;0,63192;1,2963;0,54876;0,26717;-1,0393;-0,5661;0,14091;-0,52622
0,89518;0,83256;0,58921;1,2161;0,49743;0,23066;-1,0393;-1,1991;0,3476;-0,48653
0,89518;0,8918;0,54929;1,1359;0,69097;0,19415;-1,0393;0,34969;0,50198;-0,38089
0,89518;0,95104;0,58769;0,97713;0,8845;0,15763;-1,0393;0,30984;0,4178;-0,01107
0,89518;1,0103;0,62609;0,74954;1,0781;0,12112;-1,0393;-0,40128;0,36531;0,23669
0,89518;1,0696;0,66449;0,67746;1,2717;0,1102;-1,0393;-0,63777;0,50068;0,27367
0,74695;1,0082;0,70289;0,67746;1,2509;0,1102;-1,0393;-0,38694;0,50708;0,31065
0,61012;0,73871;0,73783;0,67746;1,1971;0,1102;-1,0393;-0,20772;0,38182;0,34763
0,61012;0,46914;0,67386;0,67746;1,1434;0,1102;-1,0393;-1,223;0,20911;0,38461
0,66712;0,69249;0,60985;0,67746;1,0896;0,1102;-1,0393;-1,0399;0,22092;0,42246
0,89518;1,0498;0,54798;0,62788;1,0358;0,1102;-1,0102;-0,92046;0,33614;0,4618
0,89518;0,89359;0,54798;0,5554;0,92512;0,1102;-0,96885;-1,1155;0,30233;0,50115
0,89518;0,8207;0,54798;0,48285;0,80562;0,1102;-0,92746;-0,86471;0,23229;0,54049
0,89518;0,8207;0,54798;0,44004;0,68611;0,1102;-0,88606;-1,0439;0,10276;0,57983
0,89518;0,8207;0,54798;0,51582;0,56669;0,1102;-0,84467;0,3815;0,015079;0,53519
0,89518;0,8207;0,54193;0,5916;0,51292;0,1102;-1,122;-0,69749;-0,044268;0,4485
0,89518;0,82511;0,36002;0,66739;0,57263;0,1102;-0,81159;-0,63911;-0,32698;0,33294
0,89518;0,95729;0,17812;0,67746;0,63234;0,1102;-0,71217;-0,83814;-0,48674;0,19204
0,89518;1,0895;-0,0037908;0,67746;0,69214;0,1102;-0,83635;-0,74526;-0,25501;0,051143
0,4087;0,53427;0,47118;0,54273;0,75185;0,1102;-0,96053;-0,79784;-0,0016908;-0,085034
0,63676;0,52066;0,54798;0,29012;0,75981;0,1102;-1,0847;-0,61985;0,026927;-0,085034
0,86477;0,72523;0,54798;0,20214;0,75981;0,1102;-1,2089;-0,86471;0,25;-0,085034
0,89518;0,8207;0,54798;0,25833;0,75981;0,1102;-1,2172;-0,86471;0,069476;0,22476
0,89518;0,8207;0,54798;0,31444;0,75981;0,1102;-1,1758;0,38949;0,076178;0,27298
0,89518;0,8207;0,54798;0,37055;0,75981;0,1102;-1,1344;-1,0439;0,10941;0,32125
0,89518;0,8207;0,49249;0,42705;0,62003;0,13579;-1,093;-0,76519;0,36467;0,36946
0,89518;0,81847;0,42848;0,49292;0,49098;0,17231;-1,0516;-1,223;0,23793;0,40806
0,89518;0,75106;0,36451;0,55886;0,49098;0,20882;-0,93055;-1,223;0,26663;0,40806
0,89518;0,68366;0,30049;0,62473;0,49098;0,24533;-0,77542;-0,86471;0,21517;0,40806
0,89518;0,5725;0,28107;0,67746;0,55546;0,28184;-0,6201;-0,74526;0,064499;0,40806
0,96644;0,8207;0,33867;0,67746;0,87806;0,31836;-0,46497;-0,99609;-0,14509;0,2879
1,3227;0,8207;0,39627;0,67746;0,96716;0,35487;-1,1427;0,090882;-0,14085;0,14918
1,1643;0,8207;0,45387;0,65054;0,85201;0,39138;-1,3083;-1,0439;-0,076464;0,038239
0,92683;0,8207;0,51151;0,60002;0,73678;0,42789;-1,1013;-1,0439;0,03792;0,038239
0,89518;0,8207;0,54798;0,5495;0,62154;0,4644;-1,0393;0,090882;0,0045616;0,038239
0,89518;0,8207;0,54798;0,49898;0,5063;0,47532;-1,0393;-0,08828;-0,037846;0,038239
1,299;1,1262;0,54798;0,44846;0,53754;0,47532;-1,0393;-0,69749;-0,0068137;0,038239
0,94268;1,3171;0,54798;0,47537;0,59131;0,47532;-1,0393;0,27004;-0,028778;0,038239
1,2435;1,1739;0,54798;0,57012;0,64507;0,47532;-1,0393;-0,38694;-0,14085;0,038239
1,006;1,0307;0,54798;0,66479;0,69884;0,47532;-1,0973;-0,91248;-0,13538;0,038239
1,3639;0,88752;0,54798;0,67746;0,7526;0,44973;-1,1801;-0,74526;-0,039278;0,038239
1,1738;1,2789;0,54798;0,67746;0,80804;0,41322;-1,2629;-0,74526;-0,26942;0,038239
0,83183;1,0625;0,54798;0,67746;0,86365;0,37671;-1,3456;0,27803;-0,29647;-0,22887
0,61012;0,68067;0,54798;0,67746;0,91926;0,34019;-1,4284;-1,223;-0,31643;-0,22622
0,61012;0,62977;0,54798;0,67525;0,97487;0,30368;-1,0911;-0,43472;-0,11354;-0,17582
0,61012;0,62977;0,54798;0,60939;1,0167;0,29276;-0,57349;-0,5661;0,0095699;-0,12536
0,21549;0,17151;0,54798;0,54344;0,65822;0,29276;-1,2876;-1,1131;0,24399;-0,0791
0,43471;0,056958;0,1486;0,47757;0,49098;0,29276;-1,3704;0,56865;0,27752;-0,049549
0,72413;0,35258;-0,2036;0,34064;0,49098;0,29276;-0,95647;-0,15995;0,20959;-0,019941
1,2942;0,8207;-0,12132;0,016499;0,49098;0,29276;-0,941;0,090882;0,176;0,0096676
1,0614;0,8207;-0,039051;0,079613;0,49098;0,31836;-1,0961;-2,1786;-0,11429;0,036799
0,89518;0,8207;0,54798;0,14273;0,41929;0,35487;-1,2514;-1,0439;-0,055071;-0,006692
0,81918;0,77903;0,54798;0,37433;0,28488;0,39138;-1,4066;-0,64575;-0,14085;-0,050241
0,67667;0,57076;0,54798;0,75324;0,15046;0,42789;-1,3663;-2,1786;-0,18843;-0,085034
0,53412;0,36244;0,54798;0,88962;0,076014;0,4644;-1,2422;-0,5661;-0,22848;-0,085034
0,39161;0,15416;0,020703;0,81384;0,24141;0,44973;-1,118;-1,3544;-0,18818;-0,085034
0,67258;0,39299;0,15362;0,73805;0,4069;0,41322;-0,9938;-0,85991;-0,011751;-0,085034
1,0237;1,0231;0,28654;0,61568;0,5723;0,37671;-0,86962;0,38949;-0,016043;-0,085034
0,85602;0,95193;0,41946;0,30696;0,73778;0,34019;-0,86131;-0,86471;0,081723;-0,067292
0,68839;0,77296;0,54579;-0,0018364;0,65387;0,30368;-0,9027;-1,1275;0,12529;-0,040678
0,57971;0,62977;0,47957;-0,23879;0,53168;0,26717;-0,94409;-1,0797;0,10276;-0,014065
0,52271;0,62977;0,41336;-0,18819;0,40949;0,23066;-0,98549;-0,68554;0,028261;0,012548
0,4657;0,62977;0,34715;-0,13766;0,31176;0,19415;-1,0269;-0,64491;0,30715;0,041062
0,4087;0,62977;0,28089;-0,087142;0,31176;0,15763;-1,0102;-1,9994;0,36467;0,12643
0,3517;0,62977;0,25994;-0,03662;0,31176;0,12112;-0,96885;-1,4144;0,3827;0,21174
0,36657;0,62977;0,25994;0,0038296;0,31176;0,033595;-0,92746;-1,2589;0,22065;0,55598
0,4443;0,62977;0,25994;0,0038296;0,31176;-0,075942;-0,88606;-1,3305;0,010035;0,45512
0,52204;0,62977;0,25994;0,0038296;0,31176;-0,18548;-0,84467;-0,5661;-0,28117;0,26272
0,59978;0,62977;0,25994;0,0038296;0,31176;-0,29501;-0,86131;-0,90813;-0,32265;-0,009745
0,81598;0,8554;0,25994;0,0038296;0,31176;-0,40455;-0,9027;-1,0439;-0,49039;-0,28227
1,0535;1,105;0,25994;0,42485;0,31176;-0,43748;-0,94409;-0,78506;-0,316;-0,42772
1,0358;1,0436;0,25994;0,42485;0,31176;-0,43748;-0,98549;-0,86471;0,10061;-0,35376
0,97878;0,98231;0,25994;0,42485;0,31176;-0,43748;-1,0269;-0,86471;0,33539;-0,27979
0,92177;0,92093;0,25994;0,42485;0,31176;-0,43748;-0,9234;-0,86471;0,41235;-0,086819
0,43911;0,85955;0,25994;0,42485;0,31176;-0,43748;-0,75782;-1,1753;0,15834;0,12453
0,69567;0,8207;0,25994;0,42485;0,31176;-0,41189;-0,59225;-0,82491;-0,022375;0,22315
0,86011;0,8207;0,25994;0,42485;0,31176;-0,37538;-0,42667;-1,2589;-0,3501;0,22315
0,79432;0,8207;-0,17574;0,42485;0,31176;-0,33886;-0,2611;0,27004;-0,34084;0,091638
0,72852;0,8207;0,045779;0,42485;0,31176;-0,30235;-1,0807;-0,74526;-0,022643;-0,15491
0,66273;0,8207;0,25994;0,38275;0,31176;-0,26584;-0,72881;-1,243;-0,0010187;-0,23705
0,61012;0,8207;0,25994;0,17224;0,31176;-0,17831;-0,78045;-0,95228;0,10812;-0,17541
0,61012;0,407;0,25994;0,0038296;0,31176;-0,068776;-1,2981;-1,1912;0,07024;-0,11378
0,61012;0,34334;0,25994;0,0038296;0,31176;0,040761;-1,1634;0,13866;0,075392;-0,052142
0,75263;0,34334;0,25994;-0,056844;0,31176;0,1503;-0,7495;-0,86471;0,20959;0,0094948
1,0092;0,34334;0,25994;-0,35998;0,31176;0,25983;-0,7702;0,56865;0,10855;0,038239
0,86668;0,34334;0,25994;-0,34746;0,31176;0,29276;-0,97717;-0,84523;0,0099019;0,038239
0,72413;0,34334;0,25994;-0,058733;0,31176;0,29276;-0,94274;-2,5369;-0,16392;0,038239
0,59112;0,35561;0,25994;0,17224;0,31176;0,29276;-0,80463;-0,74526;-0,10866;0,038239
0,49611;0,41699;0,25994;0,17224;0,31176;0,29276;-0,66672;-0,72378;-0,34213;-0,074492
0,40111;0,47837;0,25994;0,17224;0,31176;0,29276;-1,2048;-0,61628;-0,42203;-0,28578
0,3251;0,53975;0,25994;0,17224;0,31176;0,29276;-1,3952;-0,73092;-0,59266;-0,45485
0,56834;0,60113;0,25994;0,17224;0,31176;0,29276;-1,3124;-0,49444;-0,44177;-0,45485
1,0244;0,62977;0,25994;0,17224;0,31176;0,29276;-1,2296;-0,79784;-0,15628;-0,45485
0,59112;0,62977;0,25994;0,17224;0,29987;0,29276;-1,1468;0,38949;0,14236;-0,45485
0,52781;0,62977;0,25994;0,17224;0,24058;0,29276;-1,064;-1,223;0,31171;-0,45485
0,90783;0,62977;0,25994;0,17224;0,18128;0,24158;-1,0393;-0,92102;0,38302;-0,2412
0,47711;0,62977;0,25994;0,17224;0,12199;0,16855;-1,0393;0,090882;0,35351;0,0053473
0,3251;0,57459;0,25994;0,17224;0,062698;0,095529;-1,0393;-0,84523;0,30157;0,23761
0,3251;0,51094;0,25173;0,14973;0,078861;0,022505;-1,0393;-1,88;0,27795;0,27712
0,3251;0,44732;0,0048671;0,11589;0,13288;-0,05052;-1,0393;-0,5661;0,27275;0,31658
0,40111;0,38367;-0,02806;0,082131;0,18681;-0,046766;-1,0683;0,090882;0,35801;0,3561
0,54362;0,34334;-0,02806;0,048292;0,24074;-0,010254;-1,1097;-2,1786;0,32947;0,39556
0,80013;0,34334;-0,02806;0,014532;0,29468;0,026258;-1,1511;-1,2111;0,32367;0,40806
1,0372;0,77707;-0,02806;0,036881;0,27366;0,062771;-1,1925;-1,0439;0,207;0,40806
0,79716;0,69521;0,34638;0,0852;0,2178;0,099283;-1,2338;-1,88;0,07625;0,40806
0,55711;0,61831;0,50191;0,1336;0,16202;0,08461;-1,2172;-1,9994;0,27828;0,40806
0,3251;0,56103;0,41547;0,17224;0,10616;0,048097;-1,1758;-0,86471;0,15867;0,36946
0,3251;0,50375;0,32907;0,17224;0,050387;0,011585;-1,1344;-1,3902;0,18142;0,26416
0,3251;0,44648;0,25994;0,0038296;0,27592;-0,024927;-1,093;-1,3902;0,14912;0,15886
0,3251;0,38916;0,25994;-0,23202;0,47833;-0,061439;-1,0516;-0,08828;-0,14975;0,05362
0,3762;0,34334;0,20831;-0,14782;0,4151;-0,097951;-0,98123;-0,99609;-0,24442;-0,051681
0,43516;0,34334;0,14873;-0,063533;0,35179;-0,13446;-0,89844;-1,0439;-0,34837;-0,11222
0,49416;0,34334;0,089114;0,0038296;0,31176;-0,17098;-0,81566;-1,223;-0,2699;-0,15197
0,55312;0,34334;0,02954;0,0038296;0,31176;-0,20749;-0,73287;-0,74526;-0,1876;-0,19172
0,60657;0,34334;-0,02806;0,0038296;0,31176;-0,244;-0,65008;-1,223;-0,087195;-0,23152
0,49966;0,28718;-0,02806;0,0038296;0,31176;-0,25492;-0,65434;-1,7008;-0,028349;-0,26712
0,39281;0,20497;-0,02806;0,0038296;0,31176;-0,25492;-0,69573;-1,0439;0,053606;-0,18175
0,2447;0,12271;-0,02806;0,0038296;0,31176;-0,25492;-0,73713;-0,76519;0,27254;-0,096439
0,02548;0,056958;-0,02806;0,0038296;0,31176;-0,25492;-0,77852;-1,243;0,1591;-0,055886
-0,10921;0,056958;-0,02806;0,0038296;0,29208;-0,25492;-0,81991;-1,5216;0,092348;-0,022303
0,094382;0,056958;-0,02806;-0,091234;0,23831;-0,25492;-0,86131;-1,0439;0,13093;0,011338
0,29798;0,056958;-0,02806;-0,23029;0,18455;-0,25492;-0,9027;-0,2675;-0,060312;0,038239
0,59458;0,27871;-0,02806;-0,46779;0,13078;-0,25492;-0,94409;-1,5017;-0,065875;0,038239
0,84089;0,49782;-0,02806;-0,7204;0,077019;-0,25492;-0,98549;-0,37896;-0,032946;-0,07622
0,10628;0,29128;-0,02806;-0,35266;-0,0025406;-0,25492;-1,0269;-1,2708;-0,11349;-0,20831
-0,12142;0,030906;-0,02806;0,11046;-0,12665;-0,25492;-0,98123;-0,27548;-0,08183;-0,23342
0,021085;-0,088331;-0,02806;-0,10146;-0,22589;-0,25492;-0,89844;0,27004;-0,011138;-0,16493
0,31321;0,036215;-0,02806;-0,20392;-0,22589;-0,25492;-0,81566;-1,235;0,042177;-0,096439
